id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1324741726163132419,1324703260054355969,2020-11-06 12:53:34 Hora estándar de Argentina,2020-11-06,12:53:34,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@lucianacancer Ni que el correo trabajara para nosotrxs!,es,[],[],[],1,0,2,[],[],https://twitter.com/CespedesLibros/status/1324741726163132419,False,,0,,,,,,,,"[{'screen_name': 'lucianacancer', 'name': 'Soy Luciana 💚', 'id': '147780356'}]",,,,
1324678366335848448,1324678366335848448,2020-11-06 08:41:48 Hora estándar de Argentina,2020-11-06,08:41:48,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,"Miguel, quien se ha robado nuestro corazón 💓",es,[],[],[],0,0,27,[],[],https://twitter.com/CespedesLibros/status/1324678366335848448,False,https://twitter.com/rascachan/status/1324499364459483137,0,,,,,,,,[],,,,
1322693947437785089,1322693947437785089,2020-10-31 21:16:26 Hora estándar de Argentina,2020-10-31,21:16:26,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@megustaleerarg,und,[],[],[],1,0,4,[],[],https://twitter.com/CespedesLibros/status/1322693947437785089,False,https://twitter.com/edmundogs/status/1322268084514611200,0,,,,,,,,[],,,,
1317576932976885760,1317567523152400388,2020-10-17 18:23:14 Hora estándar de Argentina,2020-10-17,18:23:14,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,"@Lannister2007 Hola, por favor escribinos por whatsapp para ver qué pudo haber pasado.  Si la compra fue por Mercado libre con Mercado envíos, la logística es de la plataforma de venta y no de la librería, no tenemos incidencia ni forma de modificarlo.",es,[],[],[],0,0,0,[],[],https://twitter.com/CespedesLibros/status/1317576932976885760,False,,0,,,,,,,,"[{'screen_name': 'Lannister2007', 'name': 'Gise', 'id': '1671418578'}]",,,,
1316073099012513794,1316070424413958146,2020-10-13 14:47:32 Hora estándar de Argentina,2020-10-13,14:47:32,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@chutass_ pero te vas a fundir ahorrando :),es,[],[],[],0,0,1,[],[],https://twitter.com/CespedesLibros/status/1316073099012513794,False,,0,,,,,,,,"[{'screen_name': 'chutass_', 'name': 'g', 'id': '171659009'}]",,,,
1316070158507610112,1316070158507610112,2020-10-13 14:35:51 Hora estándar de Argentina,2020-10-13,14:35:51,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,Queridxs clientes: este 14 y 15 de octubre con tarjetas de @bancoprovincia van a poder aprovechar 30% de reintegro y 3 cuotas sin interés en la compra de sus libritos para regalar y regalarse.  https://t.co/hmaCtLL4b5,es,"[{'screen_name': 'bancoprovincia', 'name': 'banco provincia', 'id': '742800091'}]",[],['https://pbs.twimg.com/media/EkOesrRXsAUiopf.png'],0,3,9,[],[],https://twitter.com/CespedesLibros/status/1316070158507610112,False,,1,https://pbs.twimg.com/media/EkOesrRXsAUiopf.png,,,,,,,[],,,,
1315638569927684098,1315638569927684098,2020-10-12 10:00:53 Hora estándar de Argentina,2020-10-12,10:00:53,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,Hoy abrimos en nuestro horario habitual 10-18 horas. Les esperamos!,es,[],[],[],0,0,12,[],[],https://twitter.com/CespedesLibros/status/1315638569927684098,False,,0,,,,,,,,[],,,,
1315057930555789312,1314956831303839745,2020-10-10 19:33:37 Hora estándar de Argentina,2020-10-10,19:33:37,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,"@sebacampanario @mabiuso Abriremos salón directamente después de la mudanza, hasta 3 personas y con todos los protocolos. Estamos trabajando en eso🙏🏾🌈",es,[],[],[],0,0,1,[],[],https://twitter.com/CespedesLibros/status/1315057930555789312,False,,0,,,,,,,,"[{'screen_name': 'sebacampanario', 'name': 'Sebastián Campanario', 'id': '171196248'}, {'screen_name': 'mabiuso', 'name': 'Marina Abiuso ✊💚', 'id': '49502816'}]",,,,
1315042824316952578,1314956831303839745,2020-10-10 18:33:36 Hora estándar de Argentina,2020-10-10,18:33:36,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,"@sebacampanario @mabiuso Estamos abiertxs desde mediados de abril. El salón no está habilitado para el ingreso, pero seguimos atendiendo desde la puerta ☺️",es,[],[],[],2,0,3,[],[],https://twitter.com/CespedesLibros/status/1315042824316952578,False,,0,,,,,,,,"[{'screen_name': 'sebacampanario', 'name': 'Sebastián Campanario', 'id': '171196248'}, {'screen_name': 'mabiuso', 'name': 'Marina Abiuso ✊💚', 'id': '49502816'}]",,,,
1314261026079158274,1314261022614728706,2020-10-08 14:47:01 Hora estándar de Argentina,2020-10-08,14:47:01,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,Pueden reservar sus ejemplares en nuestro whatsapp +541130053621,es,[],[],[],0,0,4,[],[],https://twitter.com/CespedesLibros/status/1314261026079158274,False,,0,,,,,,,,[],,,,
1314261024279846912,1314261022614728706,2020-10-08 14:47:00 Hora estándar de Argentina,2020-10-08,14:47:00,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,Vamos a tener en stock -Ararat  -Averno -Iris Salvaje -Vita Nova -Las siete edades  -Praderas,es,[],[],[],1,0,8,[],[],https://twitter.com/CespedesLibros/status/1314261024279846912,False,,0,,,,,,,,[],,,,
1314261022614728706,1314261022614728706,2020-10-08 14:47:00 Hora estándar de Argentina,2020-10-08,14:47:00,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,"El Premio Nobel de literatura fue para una poeta enorme, Louise Glück. Fue una sorpresa, una emoción y una gran alegría.  Parte de su obra en español está publicada por @PreTextosLibros, editorial española. En este momento los libros están en falta pero llegarán en dos semanas",es,"[{'screen_name': 'pretextoslibros', 'name': 'pre-textos', 'id': '213344527'}]",[],[],1,3,27,[],[],https://twitter.com/CespedesLibros/status/1314261022614728706,False,,0,,,,,,,,[],,,,
1311797595858243585,1311701614235971585,2020-10-01 19:38:13 Hora estándar de Argentina,2020-10-01,19:38:13,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@lauritachab Gracias!,es,[],[],[],0,0,0,[],[],https://twitter.com/CespedesLibros/status/1311797595858243585,False,,0,,,,,,,,"[{'screen_name': 'lauritachab', 'name': 'Laura Chab 💚', 'id': '152798193'}]",,,,
1311797572646952960,1311701614235971585,2020-10-01 19:38:07 Hora estándar de Argentina,2020-10-01,19:38:07,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@cecisz @MairalPedro &lt;3,und,[],[],[],0,0,1,[],[],https://twitter.com/CespedesLibros/status/1311797572646952960,False,,0,,,,,,,,"[{'screen_name': 'cecisz', 'name': 'cecilia szperling💚', 'id': '19055241'}, {'screen_name': 'MairalPedro', 'name': 'Pedro Mairal', 'id': '369840050'}]",,,,
1311797557945827329,1311701614235971585,2020-10-01 19:38:04 Hora estándar de Argentina,2020-10-01,19:38:04,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@lacholasm Gracias &lt;3,es,[],[],[],0,0,1,[],[],https://twitter.com/CespedesLibros/status/1311797557945827329,False,,0,,,,,,,,"[{'screen_name': 'lacholasm', 'name': 'sofi meyrelles 💚', 'id': '817501435189399552'}]",,,,
1311797495748595713,1311701614235971585,2020-10-01 19:37:49 Hora estándar de Argentina,2020-10-01,19:37:49,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@mariavelomaria Gracias!!,es,[],[],[],0,0,1,[],[],https://twitter.com/CespedesLibros/status/1311797495748595713,False,,0,,,,,,,,"[{'screen_name': 'mariavelomaria', 'name': 'María Velo 🖤', 'id': '297098869'}]",,,,
1311797469177675779,1311701614235971585,2020-10-01 19:37:43 Hora estándar de Argentina,2020-10-01,19:37:43,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@AtrapadoELL Gracias Fede!,es,[],[],[],1,0,1,[],[],https://twitter.com/CespedesLibros/status/1311797469177675779,False,,0,,,,,,,,"[{'screen_name': 'AtrapadoELL', 'name': 'AtrapadoEnLaLectura', 'id': '1282054380'}]",,,,
1311797442283790336,1311701614235971585,2020-10-01 19:37:36 Hora estándar de Argentina,2020-10-01,19:37:36,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@ritafaena @MairalPedro Gracias!!!,es,[],[],[],0,0,1,[],[],https://twitter.com/CespedesLibros/status/1311797442283790336,False,,0,,,,,,,,"[{'screen_name': 'ritafaena', 'name': 'Rita 💚', 'id': '1255336645597040640'}, {'screen_name': 'MairalPedro', 'name': 'Pedro Mairal', 'id': '369840050'}]",,,,
1311797418548236288,1311701614235971585,2020-10-01 19:37:31 Hora estándar de Argentina,2020-10-01,19:37:31,-0300,897877269536006144,cespedeslibros,Céspedes Libros,,@garciamili Alvarez Thomas y Céspedes!,es,[],[],[],1,0,7,[],[],https://twitter.com/CespedesLibros/status/1311797418548236288,False,,0,,,,,,,,"[{'screen_name': 'garciamili', 'name': 'Milagros 💚', 'id': '84493001'}]",,,,
